object,url
local-test/eat.m4a,https://fit-app-test.oss-cn-beijing.aliyuncs.com/local-test/eat.m4a
local-test/weight.m4a,https://fit-app-test.oss-cn-beijing.aliyuncs.com/local-test/weight.m4a
